mr,utt
"name[The Vaults], eatType[pub], food[Japanese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","near _|near|_, _|name|_ _|eatType|_ offers low quality at low prices for your family"
"name[The Vaults], eatType[pub], food[Japanese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",a low rated _|eatType|_ near _|near|_ and the _|area|_ that is called _|name|_ and is family friendly and is less than £20 for _|food|_ food.
"name[The Vaults], eatType[pub], food[Japanese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",family friendly near _|near|_ _|name|_ for low prices and bad food and service
"name[The Vaults], eatType[pub], food[Japanese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","over by the _|near|_ on _|area|_ is _|name|_ _|eatType|_. fairly low rated, but family friendly, and providing _|food|_ for below £20."
"name[The Vaults], eatType[pub], food[Japanese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a family friendly _|eatType|_, offering _|food|_. low rated, with equally fair pricing of £20. close to _|near|_ at _|area|_."
"name[The Vaults], eatType[pub], food[Japanese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a moderately priced low rated _|food|_ _|eatType|_ near _|near|_ in _|area|_.
"name[The Vaults], eatType[pub], food[Japanese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",a _|eatType|_ named _|name|_ with _|food|_ food is located near _|near|_ and the _|area|_. it is not kids friendly with a customer rating of 1 out of 5.
"name[The Vaults], eatType[pub], food[Japanese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ that has a moderate price range and _|food|_ food with low ratings near _|near|_ in _|area|_ with a moderate price range.
"name[The Vaults], eatType[pub], food[Japanese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",a _|eatType|_ called _|name|_ with _|food|_ food is located near _|near|_ and the _|area|_. it is not kids friendly with a customer rating of 1 out of 5.
"name[The Vaults], eatType[pub], food[Japanese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","low rated _|food|_ _|eatType|_, _|name|_ is priced moderate near _|near|_ in _|area|_."
"name[The Vaults], eatType[pub], food[Japanese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",in _|area|_ near _|near|_ is _|name|_ that is a _|eatType|_ and _|food|_ food place with low reviews and a price range of moderate.
"name[The Vaults], eatType[pub], food[Japanese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a family-friendly _|eatType|_ offering moderate _|food|_ food.  situated in the city center close to _|near|_
"name[The Vaults], eatType[pub], food[Japanese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a kid friendly _|food|_ _|eatType|_ in the _|area|_ near _|near|_ with a customer rating of 1 out of 5 and has a moderate price range.
"name[The Vaults], eatType[pub], food[Japanese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a kid friendly _|food|_ _|eatType|_ in the _|area|_ near _|near|_ with a moderate price range and has a customer rating of 1 out of 5.
"name[The Vaults], eatType[pub], food[Japanese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","located in the city center, _|name|_ is a _|eatType|_ offering moderate _|food|_ food.  children are welcome.  close by is _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",situated near _|near|_ on the _|area|_ is a child friendly _|eatType|_ serving _|food|_ food with a high price range called _|name|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a child friendly, high end,  _|food|_ bistro and _|eatType|_ that is located in _|area|_ near _|near|_"
"name[The Vaults], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_, located near _|near|_, is a high end _|food|_ bistro and café in _|area|_ and it is kid friendly."
"name[The Vaults], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ near _|near|_ in _|area|_ that serves expensive _|food|_ food. it is children friendly.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",low priced _|food|_ _|eatType|_ _|name|_ can be found in the _|area|_ close to _|near|_. not recommended for families.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ serves _|food|_ food and is near the city center and the _|near|_.  it is not family-friendly and is priced in the less than 20 pound range.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ that serves _|food|_ food. it is located near _|near|_ in the center of the city.  it is not family-friendly. it has a price range of less than £20.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ located in the _|area|_ near _|near|_. it is not  family-friendly and serves _|food|_ food. it  has a price range of less than £20.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ is a cheap _|food|_ _|eatType|_.  it can be found in the _|area|_, close to _|near|_, not recommended for families."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ is not family-friendly and is priced in the less than 20 pound range.  they serve _|food|_ food near the _|near|_ and the city center.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ is family-friendly _|food|_ food in _|area|_ near _|near|_ with a price range less than £20.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ is family-friendly _|food|_ food shop in _|area|_ near _|near|_ with a price range less than £20.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a cheap, family-friendly _|food|_ _|eatType|_ located near _|near|_ in the _|area|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","near raja cuisine, in the _|area|_ is a _|eatType|_ offering _|food|_ food. _|name|_ is cheap and family-friendly."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a family-friendly _|eatType|_ in the _|area|_ near _|near|_. it serves _|food|_ food and is in the price range of less than £20.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|food|_ food can be found at _|name|_ which is near _|near|_ in the _|area|_. it is a family-friendly _|eatType|_ and has a price range of less than £20.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ serves _|food|_ for less than £20. near _|near|_ in _|area|_. no families.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ _|eatType|_ offers _|food|_ cuisine at budget prices, but does not welcome families. it is located outside of the city centre near _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",there is a no family-friendly _|eatType|_ _|name|_ located near _|near|_ in the _|area|_ that provides _|food|_ food in the cheap price range.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","for less than £20, _|food|_ _|eatType|_ _|name|_ can be found in _|area|_ near _|near|_. no families."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","great _|food|_ food is sold at _|name|_ _|eatType|_. with a price range of less than £20 and no kids allowed, the _|area|_ café near the _|near|_ is sure to please."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","_|eatType|_, _|name|_, is reasonably priced.  located near _|near|_, it's not considered family friendly."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ _|eatType|_ offers a low-price range of delicacies such as wine and spirits, fondue, cheeseboards, _|food|_ and italian dishes. it is not family-friendly. it is situated by the river, and near to the _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","sitting on the _|area|_ close to _|near|_, _|name|_ is a low cost _|eatType|_.  this is not a family friendly _|eatType|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ and _|food|_ _|eatType|_ is located outside of the city centre near _|near|_. it offers a cheap dining experience but does not cater for families.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a no family-friendly _|eatType|_ providing _|food|_ food in the cheap price range. it is located near _|near|_ in the _|area|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ _|eatType|_ is not family-friendly, sells _|food|_ food, and has a price range of less than £20. it is located in the _|area|_ area near _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a family friendly _|eatType|_ in the low price range serving _|food|_ food, situated near _|near|_"
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","for less than  £20, _|name|_ is a family friendly _|area|_ _|food|_ _|eatType|_ near _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",there is a _|eatType|_ and family _|eatType|_ called _|name|_ that provides wine and spirits and picnic food items that is inexpensive and near _|near|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",for less than £20 you can get _|food|_ food at a family friendly _|eatType|_. _|name|_ is located near _|near|_ in _|area|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ _|eatType|_ is family friendly, and serves inexpensive food. it is near the city centre  next to the river and _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ and family _|eatType|_ that provides wine and spirits and picnic food items is inexpensive and close to _|near|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a  _|eatType|_ near _|near|_ at _|area|_  for _|food|_ food  good for family. the food cost less than £20.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|food|_ _|eatType|_ suitable for family. it is located near _|near|_ at _|area|_ and charges less than £20.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a family friendly, _|eatType|_ near _|near|_. it serves _|food|_ food for less that 20gbp."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ serves _|food|_ food in a family friendly _|eatType|_ and is situated near _|near|_
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_, a family friendly _|eatType|_ that serves _|food|_ food with prices less than l20.  it is in the _|area|_ area near _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",you can find _|food|_ food for less than 20 gbp at _|name|_. a family friendly _|eatType|_ located near _|near|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ is a great place to bring your kids and is not far from _|near|_
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ is a family oriented _|eatType|_ that features some of the best wine in the area.  also close to _|near|_
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_, is a _|eatType|_ that is  family friendly  with prices less than l20  it serves _|food|_ food and is near _|near|_ in the _|area|_ area."
"name[The Vaults], eatType[restaurant], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","family friendly _|food|_ _|eatType|_, _|name|_, is located _|area|_ near _|near|_ with a price range less than  £20."
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",a _|eatType|_ near _|near|_ in the _|area|_ called _|name|_ sells _|food|_ food moderate pricing and not child-friendly.
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|food|_ food serving _|name|_ _|eatType|_ can be found near _|near|_ in the _|area|_. it is not a kids friendly _|eatType|_. the prices are moderate.
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ offers _|food|_ food in moderate price range. it is located in the _|area|_ near _|near|_. children are not welcome.
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ near _|near|_ in the _|area|_ sells _|food|_ food and is moderate priced no kids allowed.
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ serves _|food|_ food in the _|area|_ near _|near|_ and is moderately priced
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","if you've got kids in tow with a curious palate, why not try _|name|_, a _|food|_ style _|eatType|_ in the _|area|_ - near _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","there is a moderately priced _|eatType|_ serving _|food|_ food called _|name|_. it is in the _|area|_ close to _|near|_, it is kids friendly."
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ serves _|food|_ food in the _|area|_ near _|near|_ and is moderately priced
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","located in the _|area|_, _|name|_ is a moderately priced _|food|_ style _|eatType|_. it's great for the kids, and located near the _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a moderately priced _|eatType|_. it is kids friendly and serves _|food|_ food, it is located in the _|area|_ near _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ is a _|food|_ _|eatType|_ with a moderate price range, but isn't kid friendly, and it located near _|near|_ on _|area|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ with _|food|_ food near to _|near|_
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",there is a _|eatType|_ called _|name|_ near _|near|_ that serves moderate priced food is in the _|area|_ area and is for adults.
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is on _|area|_ has a moderate price its close to _|near|_
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a _|food|_ _|eatType|_ in the area of _|area|_ near _|near|_ with a moderate price range and is not kid friendly.
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ which serves moderate priced _|food|_ food near _|near|_ in the _|area|_ area.
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a reasonably priced, family friendly _|eatType|_ located near _|near|_ by the river."
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a family friendly _|eatType|_ that deals in modern delicacies. they cater to those with checkbooks of moderate size, and can be found in the park on the river, just east of _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","the _|food|_ _|eatType|_, _|name|_, is a moderately priced, kid friendly _|eatType|_ in _|area|_ near _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a nicely made _|food|_ _|eatType|_ that is kids friendly and located near _|near|_ in the _|area|_ area. the price range is moderate.
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ _|food|_ _|eatType|_ is children friendly, and can be found in the _|area|_ area near _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ is located near _|near|_ by the river. they are a reasonably priced _|eatType|_ that is family friendly.
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ which sells fine foods at moderate prices. they welcome families and are just east of _|near|_ on the river
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ serves food and drinks cheap prices located next to _|near|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a cheap _|eatType|_ located next to _|near|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",on the _|area|_ near _|near|_ _|name|_ serves _|food|_ food. this _|eatType|_ is moderately priced and kid friendly.
"name[The Vaults], eatType[restaurant], food[French], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","moderately priced and kid friendly, _|name|_ is a _|eatType|_ serving _|food|_ food near _|near|_ on the _|area|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is an up market _|food|_ cuisine _|eatType|_ located in the _|area|_ near to the _|near|_ _|eatType|_
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ providing _|food|_ food more than 30 pounds price range it is located in the _|area|_ near _|near|_ not child friendly for adults only
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","the _|eatType|_ '_|name|_' is a _|food|_ _|eatType|_ who are not children friendly with a price range of over £30. they are located in the _|area|_, near '_|near|_'."
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",if you are looking for an up market _|food|_ _|eatType|_ you should try _|name|_ which is located in the _|area|_ close to the _|near|_ _|eatType|_
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a _|food|_ food  _|eatType|_  in the more than 30 pounds price range it is in the _|area|_ near _|near|_ not child friendly for adults only
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","the _|food|_ _|eatType|_ '_|name|_' is located in the _|area|_, near '_|near|_' with a price range of over £30. they are not children friendly."
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",a children friendly _|eatType|_ named _|name|_ that serves _|food|_ food. in the _|area|_ area is a _|eatType|_ with a price range of more than 30. it is near _|near|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",children friendly _|food|_ _|eatType|_ _|name|_ is located near _|near|_ in _|area|_. it is a high priced _|eatType|_ more than £30.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",for more than £30 _|name|_ is a children friendly _|food|_ _|eatType|_  near _|near|_ at _|area|_ is a _|eatType|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ in a _|food|_ _|eatType|_ near _|near|_ in the _|area|_ area. it is a _|eatType|_ with a price range is more than 30.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",a children friendly _|food|_ _|eatType|_ named _|name|_ near _|near|_ at _|area|_ is a _|eatType|_ for more than £30.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ _|eatType|_, located in _|area|_, is children friendly with a price range of more than £30. it is near _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a _|food|_ _|eatType|_ with prices above £30 in the _|area|_ area near _|near|_. it isn't child friendly.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","the up market _|food|_ _|eatType|_, _|name|_, is located at the _|area|_ near to the _|near|_ _|eatType|_"
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",there is high price _|eatType|_ named _|name|_ serving _|food|_ food located in _|area|_ near _|near|_ but not children-friendly
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",a _|food|_ _|eatType|_ with prices above £30 in the _|area|_ area near _|near|_ which isn't child friendly is called _|name|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ has _|food|_ cuisine and is located at the _|area|_ close to the _|near|_ _|eatType|_
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is high price _|eatType|_ serving _|food|_ food located in _|area|_ near _|near|_ but not children-friendly
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a children-friendly _|eatType|_ that serves _|food|_ food and is found in the _|area|_ area near _|near|_.  the price range is more than £30.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a high-priced family friendly _|eatType|_ that serves wines and cheeses. it is located in the city centre and is near by the _|near|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","located in _|area|_ near _|near|_, _|name|_ _|eatType|_ offers _|food|_ food. child friendly ranging in price more end £30."
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",there is an expensive _|eatType|_ _|name|_ located near _|near|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","near the _|near|_,  by the river, _|name|_ offers a child friendly environment, prices over £30, and _|food|_ food and coffee."
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ in the high-price range.  it is located  near _|near|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",a children-friendly _|eatType|_ called _|name|_ is in the _|area|_ area near _|near|_. the price range is more than e30 and it serves _|food|_ food.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",there is a high priced range _|eatType|_ called _|name|_ located in city centre that is family friendly and offers _|near|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a children friendly _|eatType|_ in the _|area|_ area, near _|near|_.  it serves _|food|_ food and is in the more than £30 price range."
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a high-priced _|eatType|_ that serves wines and cheeses. it is family friendly and is located in the city centre and is near by _|near|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",there is a children friendly _|eatType|_ _|name|_ near _|near|_ located in the _|area|_. it serves _|food|_ food  for more than £30.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is _|eatType|_ serving _|food|_ food with price range more than £30 . it is children friendly and is located near _|near|_ in the _|area|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","if you are in the mood for _|food|_ food in the more than £30 price range, try _|name|_.  it is a children friendly _|eatType|_ located in the _|area|_ area near _|near|_ ."
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a high priced range family friendly _|eatType|_ located in city centre that offers _|near|_.
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ _|eatType|_ offers _|food|_ food, in the _|area|_ area. loved near _|near|_."
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","priced at more than £30, and located by the _|area|_, _|name|_, near _|near|_, is a child friendly coffee house that serves _|food|_ cuisine"
